such as,様に
General Currency Conversion,一般的な通貨の換算
General Funding of PayPal Account ,PayPalアカウントの一般的な資金調達
General Redemption,一般的な償還
General Withdrawal from PayPal Account,PayPalアカウントからの一般的な撤退
General. Product no longer supported,全般製品はサポートされなくなりました
General: Use of PayPal account for purchasing as well as receiving payments,一般：ご購入だけでなく支払いを受け取るためのPayPalアカウントの利用
General: Withdrawal from PayPal Account,一般：PayPalアカウントから撤退
General: Withdrawal to Non-Bank Entity,一般：非銀行エンティティに撤退
General: adjustment of a type not belonging to the other T12xx categories,一般：他のT12xxカテゴリに属していないタイプの調整
General: bonus of a type not belonging to the other T08xx categories,一般：他のT08xxカテゴリに属していないタイプのボーナス
General: event not yet categorized,一般：イベントはまだ分類されません
General: non-payment fee of a type not belonging to the other T01xx categories,一般：他のT01xxカテゴリに属していないタイプの非支払手数料
General: received payment of a type not belonging to the other T00xx categories,一般：他のT00xxカテゴリに属していないタイプの支払いを受けました
General: reversal of a type not belonging to the other T11xx categories,一般：他のT11xxカテゴリに属していないタイプの逆転
General: temporary hold of a type not belonging to the other T15xx categories,一般：他のT15xxカテゴリに属していないタイプの一時保留
Gift Certificate Payment: purchase of Gift Certificate,ギフト券のお支払い方法：ギフト券の購入
Gift Certificate Redemption,ギフト券の償還
Hidden Virtual PayPal Debit Card Transaction,隠された仮想PayPalのデビットカード取引
Hold for Dispute Investigation,紛争の調査のために保留
Incentive,インセンティブ
Mass Pay Payment,マス有料支払い
Merchant Referral Bonus,マーチャント紹介ボーナス
Mobile Payment (made via a mobile phone),（携帯電話を介して行う）モバイルペイメント
Negative Balance,負のバランス
Open Authorization,オープン認証
PayPal Balance Manager function of PayPal account,PayPalアカウントのペイパル残高マネージャ機能
PayPal Buyer Warranty Bonus,PayPalのバイヤーの保証ボーナス
PayPal Debit Card Cash Advance,PayPalのデビットカード現金前貸し
PayPal Debit Card Withdrawal from ATM,ATMからPayPalのデビットカードの撤退
PayPal Protection Bonus,PayPalの保護ボーナス
Payment Refund initiated by merchant,支払払い戻し店舗によって開始
Points Incentive Redemption,インセンティブ償還ポイント
Postage Payment to either USPS or UPS,USPSまたはUPSのいずれかに送料着払い
"Preapproved Payment (BillUser API, either sent or received",事前承認支払い（BillUserのAPI送信または受信のどちらか
Reauthorization,再授権
Reimbursement of Chargeback,チャージバックの償還
Reversal,逆転
Reversal of General Account Hold,一般会計ホールドの逆転
Reversal of Points Usage,ポイントの使用法の逆転
Reversal of hold for Dispute Investigation,紛争の調査のためのホールドの逆転
Reward Voucher Redemption,クーポン償還に報います
Settlement Consolidation,決済の統合
"Subscription Payment, either payment sent or payment received",サブスクリプションの支払い支払いのいずれかを送信またはお支払いはお受け
User-initiated Currency Conversion,ユーザーが開始する通貨換算
Virtual PayPal Debit Card Transaction,仮想PayPalのデビットカード取引
Virtual Terminal Payment,仮想ターミナル支払い
WorldLink Withdrawal,WorldLink撤退
eBay Auction Payment,eBayのオークション支払い
The PayPal certificate file is empty.,PayPalの証明書ファイルは空です
Header (center),ヘッダ（中央）
